Accession_Number	Clonal_Complex	Country_Isolation	Country_Patient_Birth	Gnumber	Host	Map	SIB_Number	Sample.included.in.Loiseau.et.al..2020	Sequence_origin
SRR8063654	af2	Ethiopia		G41520	Bos taurus	1	SB1176	1	public repositories
SRR8063655	af2	Ethiopia		G41521	Bos taurus	1	SB0912	1	public repositories
SRR8063656	af2	Ethiopia		G41522	Bos taurus	1	SB1176	1	public repositories
SRR8063657	af2	Ethiopia		G41523	Bos taurus	1	SB1176	1	public repositories
SRR8063658	af2	Ethiopia		G41524	Bos taurus	1	SB1176	1	public repositories
SRR8063659	af2	Ethiopia		G41525	Bos taurus	1	SB1176	1	public repositories
SRR8063660	af2	Ethiopia		G41526	Bos taurus	1	SB0133	1	public repositories
SRR8063661	af2	Ethiopia		G41527	Bos taurus	1	SB1176	1	public repositories
SRR8063662	af2	Ethiopia		G41528	Bos taurus	1	SB0912	1	public repositories
SRR8063663	af2	Ethiopia		G41529	Bos taurus	1	SB1176	1	public repositories
SRR8063664	af2	Ethiopia		G41530	Bos taurus	1	New pattern	1	public repositories
SRR8063665	af2	Ethiopia		G41531	Bos taurus	1	SB1176	1	public repositories
SRR8063666	af2	Ethiopia		G41532	Bos taurus	1	SB1176	1	public repositories
ERR3077969	af2	Tanzania		G51349	Human	1	New pattern	0	public repositories
ERR4769565	af2	Ethiopia		G66535		0	SB1477	0	public repositories
ERR4769561	af2	Ethiopia		G66539		0	SB0303	0	public repositories
ERR4769560	af2	Ethiopia		G66540		0	SB2595	0	public repositories
ERR4769559	af2	Ethiopia		G66541		0	SB1176	0	public repositories
ERR4772237	af2	Ethiopia		G66542		0	SB0303	0	public repositories
ERR4772236	af2	Ethiopia		G66543		0	SB0133	0	public repositories
ERR4772235	af2	Ethiopia		G66544		0	SB1984	0	public repositories
ERR4772234	af2	Ethiopia		G66545		0	SB0303	0	public repositories
ERR4772231	af2	Ethiopia		G66710		1	SB1176	0	public repositories
ERR4772228	af2	Ethiopia		G66713		1	SB1176	0	public repositories
ERR4772227	af2	Ethiopia		G66714		1	SB0133	0	public repositories
ERR4772224	af2	Ethiopia		G66717		1	SB1176	0	public repositories
ERR4772223	af2	Ethiopia		G66718		1	SB0133	0	public repositories
ERR4772222	af2	Ethiopia		G66719		1	New pattern	0	public repositories
ERR4772221	af2	Ethiopia		G66720		1	SB0133	0	public repositories
ERR4772220	af2	Ethiopia		G66721		1	SB0133	0	public repositories
ERR4772217	af2	Ethiopia		G66724		1	SB1176	0	public repositories
ERR4772216	af2	Ethiopia		G66725		1	SB1176	0	public repositories
ERR4772215	af2	Ethiopia		G66726		1	SB1176	0	public repositories
ERR4772214	af2	Ethiopia		G66727		1	SB1176	0	public repositories
ERR4772213	af2	Ethiopia		G66728		1	New pattern	0	public repositories
ERR4772209	af2	Ethiopia		G66732		1	SB0303	0	public repositories
ERR4772208	af2	Ethiopia		G66733		1	SB1176	0	public repositories
ERR1462578	caprae	Germany		G36645	cattle	1	SB0418	1	public repositories
ERR1462593	caprae	Germany		G36660	cattle	1	SB0418	1	public repositories
ERR2517345	caprae	Netherlands		G36760		0	SB0835	1	public repositories
ERR2510183	caprae	Peru		G36761		0	SB0415	1	public repositories
ERR2510206	caprae	Peru		G36762		0	SB0415	1	public repositories
SRR1792164	caprae	China		G37371	Primate	1	SB1622	1	public repositories
SRR1792165	caprae	China		G37372	Primate	1	SB1622	1	public repositories
SRR7617662	caprae	China		G41838	Monkey	1	SB1622	1	public repositories
DRR120408	caprae	Japan		G42152	Elephas maximus	1	SB0418	1	public repositories
DRR120409	caprae	Japan		G42153	Elephas maximus	1	SB0418	1	public repositories
	caprae	Turkey		G66307	Human	1	SB0419	0	newly sequenced
	caprae	Switzerland		G66331	cattle	1	New pattern	0	newly sequenced
ERR017796	eu1	Russia		G04157		0	New pattern	1	public repositories
ERR400386	eu1	United Kingdom	United Kingdom	G13058		0	SB0272	1	public repositories
ERR400460	eu1	United Kingdom		G13125		0	New pattern	1	public repositories
SRR2100072	eu1	United Kingdom		G14219		0	SB0263	1	public repositories
SRR2100074	eu1	United Kingdom		G14221		0	New pattern	1	public repositories
SRR2101351	eu1	United Kingdom		G15488		0	SB0263	1	public repositories
ERR046748	eu1	United Kingdom		G16000		0	New pattern	1	public repositories
ERR046749	eu1	United Kingdom		G16001		0	SB0263	1	public repositories
ERR046954	eu1	United Kingdom		G16092		0	SB0263	1	public repositories
ERR046961	eu1	United Kingdom		G16096		0	SB0263	1	public repositories
ERR841810	eu1	United Kingdom		G22057	Cow	1	SB0140	1	public repositories
ERR841874	eu1	United Kingdom		G22121	Cow	1	SB0140	1	public repositories
SRR5216970	eu1	New Zealand		G22232	Bovine	1	SB0140	1	public repositories
SRR5216951	eu1	New Zealand		G22251	Possum	1	SB0130	1	public repositories
SRR5216928	eu1	New Zealand		G22274	Bovine	1	SB0140	1	public repositories
SRR5216893	eu1	New Zealand		G22309	Bovine	1	SB0140	1	public repositories
SRR5216884	eu1	New Zealand		G22318	Bovine	1	SB0140	1	public repositories
SRR5216883	eu1	New Zealand		G22319	Bovine	1	SB1031	1	public repositories
SRR5216854	eu1	New Zealand		G22348	Bovine	1	SB0140	1	public repositories
SRR5216835	eu1	New Zealand		G22367	Bovine	1	SB0140	1	public repositories
SRR5216806	eu1	New Zealand		G22396	Ferret	1	SB0130	1	public repositories
SRR5216799	eu1	New Zealand		G22403	Bovine	1	SB0140	1	public repositories
SRR5216779	eu1	New Zealand		G22423	Possum	1	SB0140	1	public repositories
SRR5216774	eu1	New Zealand		G22428	Bovine	1	SB0140	1	public repositories
SRR5216763	eu1	New Zealand		G22439	Bovine	1	SB0140	1	public repositories
SRR5216759	eu1	New Zealand		G22443	Bovine	1	SB0140	1	public repositories
SRR5216741	eu1	New Zealand		G22461	Bovine	1	SB0140	1	public repositories
SRR5216740	eu1	New Zealand		G22462	Bovine	1	SB0140	1	public repositories
SRR5216727	eu1	New Zealand		G22475	Possum	1	SB0140	1	public repositories
SRR5216724	eu1	New Zealand		G22478	Ferret	1	SB0140	1	public repositories
SRR5216706	eu1	New Zealand		G22497	Bovine	1	SB0140	1	public repositories
SRR6467887	eu1	Canada		G36314	Bison bison athabascae	1	SB0130	1	public repositories
SRR6467891	eu1	Canada		G36316	elk	1	SB0140	1	public repositories
SRR6467893	eu1	Canada		G36317	Bos taurus	1	SB1071	1	public repositories
SRR5657361	eu1	Mexico		G36405	Bos taurus	1	SB1758	1	public repositories
SRR5657376	eu1	Mexico		G36420	Bos taurus	1	SB0145	1	public repositories
SRR5657393	eu1	Mexico		G36437	Bos taurus	1	SB0145	1	public repositories
SRR5657394	eu1	Mexico		G36438	Bos taurus	1	SB0140	1	public repositories
SRR5657395	eu1	Mexico		G36439	Bos taurus	1	SB0145	1	public repositories
SRR5657410	eu1	Mexico		G36454	Human	1	SB0145	1	public repositories
SRR5657432	eu1	Mexico		G36476	Bos taurus	1	SB0145	1	public repositories
SRR5657493	eu1	Mexico		G36537	Bos taurus	1	SB0145	1	public repositories
SRR5657520	eu1	Mexico		G36564	Bos taurus	1	SB0145	1	public repositories
SRR5657521	eu1	Mexico		G36565	Bos taurus	1	SB1758	1	public repositories
ERR1815539	eu1	South Africa		G36575	Syncerus caffer	1	SB0130	1	public repositories
ERR1815543	eu1	South Africa		G36579	Syncerus caffer	1	SB1755	1	public repositories
ERR1815544	eu1	South Africa		G36580	Bos taurus	1	SB0130	1	public repositories
ERR1815548	eu1	South Africa		G36584	Bos taurus	1	SB0267	1	public repositories
ERR1815550	eu1	South Africa		G36586	Panthera leo	1	SB0130	1	public repositories
SRR5382721	eu1	Uruguay		G36587	Bos taurus	1	SB0145	1	public repositories
SRR5430090	eu1	Uruguay		G36588	Bos taurus	1	SB0145	1	public repositories
SRR5430091	eu1	Uruguay		G36589	Bos taurus	1	SB0274	1	public repositories
SRR5430098	eu1	Uruguay		G36590	Bos taurus	1	SB0145	1	public repositories
SRR5430569	eu1	Uruguay		G36591	Bos taurus	1	SB0130	1	public repositories
SRR5430746	eu1	Uruguay		G36592	Bos taurus	1	SB1072	1	public repositories
SRR5430747	eu1	Uruguay		G36593	Bos taurus	1	SB0130	1	public repositories
SRR5430748	eu1	Uruguay		G36594	Bos taurus	1	SB0274	1	public repositories
SRR5430749	eu1	Uruguay		G36595	Bos taurus	1	SB0274	1	public repositories
SRR5430750	eu1	Uruguay		G36596	Bos taurus	1	SB0130	1	public repositories
SRR5431711	eu1	Uruguay		G36597	Bos taurus	1	SB0274	1	public repositories
SRR5431718	eu1	Uruguay		G36598	Bos taurus	1	SB0130	1	public repositories
SRR5431719	eu1	Uruguay		G36599	Bos taurus	1	SB0274	1	public repositories
SRR5431720	eu1	Uruguay		G36600	Bos taurus	1	SB0145	1	public repositories
SRR5431721	eu1	Uruguay		G36601	Bos taurus	1	SB0274	1	public repositories
SRR5431730	eu1	Uruguay		G36602	Bos taurus	1	SB1619	1	public repositories
SRR5431732	eu1	Uruguay		G36603	Bos taurus	1	SB0130	1	public repositories
SRR5431790	eu1	Uruguay		G36604	Bos taurus	1	SB0130	1	public repositories
SRR5431791	eu1	Uruguay		G36605	Bos taurus	1	SB0145	1	public repositories
SRR5431792	eu1	Uruguay		G36606	Bos taurus	1	SB0145	1	public repositories
SRR5431793	eu1	Uruguay		G36607	Bos taurus	1	SB0274	1	public repositories
SRR5431795	eu1	Uruguay		G36609	Bos taurus	1	SB0274	1	public repositories
ERR125612	eu1	Ireland		G36624		1	SB0140	1	public repositories
SRR6045827	eu1	United Kingdom		G36705	Homo sapiens	0	SB0263	1	public repositories
ERR2512570	eu1	United Kingdom		G36706		0	SB0263	1	public repositories
ERR2512647	eu1	United Kingdom		G36707		0	SB0263	1	public repositories
ERR2512732	eu1	United Kingdom		G36710		0	SB0129	1	public repositories
ERR2512755	eu1	United Kingdom		G36711		0	New pattern	1	public repositories
ERR2512838	eu1	United Kingdom		G36712		0	SB0130	1	public repositories
ERR2512954	eu1	United Kingdom		G36717		0	SB0129	1	public repositories
ERR2512962	eu1	United Kingdom		G36718		0	SB0129	1	public repositories
ERR2513034	eu1	United Kingdom		G36719		0	New pattern	1	public repositories
ERR2513138	eu1	United Kingdom		G36720		0	SB0140	1	public repositories
ERR2513194	eu1	United Kingdom		G36721		0	SB0263	1	public repositories
ERR2513433	eu1	United Kingdom		G36724		0	SB0129	1	public repositories
ERR2513607	eu1	United Kingdom		G36725		0	SB0140	1	public repositories
ERR2513811	eu1	United Kingdom		G36727		0	SB0263	1	public repositories
ERR2514144	eu1	United Kingdom		G36729		0	SB0673	1	public repositories
ERR2514191	eu1	United Kingdom		G36730		0	SB0129	1	public repositories
SRR6045214	eu1	United Kingdom		G36731	Homo sapiens	0	SB0263	1	public repositories
ERR2514285	eu1	United Kingdom		G36732		0	SB0129	1	public repositories
ERR2514352	eu1	United Kingdom		G36733		0	SB0272	1	public repositories
SRR6045235	eu1	United Kingdom		G36734	Homo sapiens	0	SB0267	1	public repositories
ERR2514545	eu1	United Kingdom		G36735		0	SB0140	1	public repositories
ERR2514583	eu1	United Kingdom		G36736		0	SB0129	1	public repositories
ERR2514837	eu1	United Kingdom		G36737		0	New pattern	1	public repositories
ERR2514955	eu1	United Kingdom		G36738		0	New pattern	1	public repositories
ERR2815609	eu1	Germany		G36802	racoon	0	SB0141	0	public repositories
SRR1791700	eu1	Mexico		G36907	Cattle	1	SB1499	1	public repositories
SRR1791703	eu1	Mexico		G36910	Cattle	1	SB0673	1	public repositories
SRR1791707	eu1	USA		G36914	Jaguar	1	SB0140	1	public repositories
SRR1791728	eu1	Mexico		G36935	Cattle	1	SB0140	1	public repositories
SRR1791737	eu1	Mexico		G36944	Cattle	1	SB0140	1	public repositories
SRR1791751	eu1	Mexico		G36958	Cattle	1	SB0145	1	public repositories
SRR1791752	eu1	Mexico		G36959	Cattle	1	New pattern	1	public repositories
SRR1791762	eu1	Mexico		G36969	Cattle	1	SB0140	1	public repositories
SRR1791763	eu1	Mexico		G36970	Cattle	1	New pattern	1	public repositories
SRR1791766	eu1	Mexico		G36973	Cattle	1	SB0307	1	public repositories
SRR1791770	eu1	Mexico		G36977	Cattle	1	SB0130	1	public repositories
SRR1791773	eu1	Mexico		G36980	Cattle	1	SB0140	1	public repositories
SRR1791777	eu1	Mexico		G36984	Cattle	1	SB0943	1	public repositories
SRR1791784	eu1	USA		G36991	Cattle	1	SB1071	1	public repositories
SRR1791785	eu1	Mexico		G36992	Cattle	1	SB0140	1	public repositories
SRR1791792	eu1	Mexico		G36999	Cattle	1	SB0140	1	public repositories
SRR1791801	eu1	Mexico		G37008	Cattle	1	SB2020	1	public repositories
SRR1791809	eu1	Mexico		G37016	Cattle	1	SB0140	1	public repositories
SRR1791816	eu1	Mexico		G37023	Cattle	1	SB2020	1	public repositories
SRR1791822	eu1	Mexico		G37029	Cattle	1	SB0140	1	public repositories
SRR1791826	eu1	Mexico		G37033	Cattle	1	SB0140	1	public repositories
SRR1791829	eu1	Mexico		G37036	Cattle	1	SB0140	1	public repositories
SRR1791834	eu1	Mexico		G37041	Cattle	1	SB1499	1	public repositories
SRR1791861	eu1	Mexico		G37068	Cattle	1	SB0140	1	public repositories
SRR1791864	eu1	Mexico		G37071	Cattle	1	SB0140	1	public repositories
SRR1791871	eu1	Mexico		G37078	Cattle	1	SB0130	1	public repositories
SRR1791881	eu1	USA		G37088	Cattle	1	SB0140	1	public repositories
SRR1791883	eu1	Mexico		G37090	Cattle	1	SB0140	1	public repositories
SRR1791889	eu1	USA		G37096	Sus scrofa	1	SB0145	1	public repositories
SRR1791894	eu1	USA		G37101	Cattle	1	SB0145	1	public repositories
SRR1791911	eu1	USA		G37118	Cattle	1	SB1758	1	public repositories
SRR1791937	eu1	Mexico		G37144	Cattle	1	SB0269	1	public repositories
SRR1791942	eu1	Mexico		G37149	Cattle	1	SB1499	1	public repositories
SRR1791947	eu1	USA		G37154	Cattle	1	SB0271	1	public repositories
SRR1791952	eu1	Mexico		G37159	Cattle	1	SB0971	1	public repositories
SRR1791953	eu1	Mexico		G37160	Cattle	1	SB0673	1	public repositories
SRR1791958	eu1	Mexico		G37165	Cattle	1	SB0140	1	public repositories
SRR1791970	eu1	Mexico		G37177	Cattle	1	SB0140	1	public repositories
SRR1791975	eu1	Mexico		G37182	Cattle	1	SB0140	1	public repositories
SRR1791977	eu1	Mexico		G37184	Cattle	1	SB0140	1	public repositories
SRR1791985	eu1	USA		G37192	Cattle	1	SB0271	1	public repositories
SRR1791987	eu1	Mexico		G37194	Cattle	1	SB0140	1	public repositories
SRR1791988	eu1	Mexico		G37195	Cattle	1	SB1754	1	public repositories
SRR1791998	eu1	Mexico		G37205	Cattle	1	SB0140	1	public repositories
SRR1792009	eu1	USA		G37216	Cervid	1	SB0271	1	public repositories
SRR1792014	eu1	USA		G37221	Sus scrofa	1	SB0145	1	public repositories
SRR1792043	eu1	USA		G37250	Cervid	1	SB0271	1	public repositories
SRR1792044	eu1	USA		G37251	Cervid	1	SB0271	1	public repositories
SRR1792051	eu1	USA		G37258	Cattle	1	SB0140	1	public repositories
SRR1792060	eu1	USA		G37267	Cattle	1	SB0140	1	public repositories
SRR1792066	eu1	Mexico		G37273	Cattle	1	SB0140	1	public repositories
SRR1792067	eu1	USA		G37274	Cervid	1	SB0271	1	public repositories
SRR1792076	eu1	USA		G37283	Cervid	1	SB0271	1	public repositories
SRR1792090	eu1	USA		G37297	Cattle	1	SB0271	1	public repositories
SRR1792103	eu1	USA		G37310	Cervid	1	SB0271	1	public repositories
SRR1792107	eu1	USA		G37314	Sus scrofa	1	SB0145	1	public repositories
SRR1792114	eu1	USA		G37321	Cattle	1	SB0271	1	public repositories
SRR1792124	eu1	USA		G37331	Cervid	1	SB0271	1	public repositories
SRR1792146	eu1	USA		G37353	Sus scrofa	1	SB0145	1	public repositories
SRR1792152	eu1	USA		G37359	Sus scrofa	1	SB0145	1	public repositories
SRR1792172	eu1	Mexico		G37379	Cattle	1	SB1348	1	public repositories
SRR1792176	eu1	USA		G37383	Cattle	1	SB1758	1	public repositories
SRR1792178	eu1	USA		G37385	Cattle	1	SB0271	1	public repositories
SRR1792179	eu1	USA		G37386	Cattle	1	SB0271	1	public repositories
SRR1792279	eu1	Mexico		G37486	Cattle	1	SB0267	1	public repositories
SRR1792281	eu1	Mexico		G37488	Cattle	1	SB0140	1	public repositories
SRR1792339	eu1	USA		G37546	Cattle	1	SB0271	1	public repositories
SRR1792349	eu1	Mexico		G37556	Cattle	1	SB0673	1	public repositories
SRR1792350	eu1	USA		G37557	Felis catus	1	SB0145	1	public repositories
SRR1792358	eu1	Mexico		G37565	Cattle	1	SB0140	1	public repositories
SRR1792372	eu1	Mexico		G37579	Cattle	1	New pattern	1	public repositories
SRR1792429	eu1	USA		G37636	Cattle	1	SB0271	1	public repositories
SRR1792438	eu1	Mexico		G37645	Cattle	1	SB0130	1	public repositories
SRR1792441	eu1	Mexico		G37648	Cattle	1	SB0145	1	public repositories
SRR1792487	eu1	USA		G37694	Cattle	1	SB0130	1	public repositories
SRR1792494	eu1	USA		G37701	Cattle	1	SB0145	1	public repositories
SRR4019490	eu1	USA		G37784	Homo sapiens	0	SB0145	1	public repositories
SRR1657061	eu1	Costa Rica		G38449	cow	1	SB1041	1	public repositories
SRR1657070	eu1	Panama		G38453	cow	1	SB0145	1	public repositories
SRR7236106	eu1	Mexico		G41169	Bos taurus	1	SB0140	1	public repositories
SRR7236111	eu1	Mexico		G41174	Bos taurus	1	SB0140	1	public repositories
SRR7236140	eu1	Mexico		G41203	Bos taurus	1	SB0140	1	public repositories
SRR7236142	eu1	Mexico		G41205	Bos taurus	1	SB0140	1	public repositories
SRR7236143	eu1	Mexico		G41206	Bos taurus	1	SB0140	1	public repositories
SRR7236144	eu1	Mexico		G41207	Bos taurus	1	SB0140	1	public repositories
SRR7236148	eu1	Mexico		G41211	Bos taurus	1	SB0140	1	public repositories
SRR7236150	eu1	Mexico		G41213	Bos taurus	1	SB0140	1	public repositories
SRR7236154	eu1	Mexico		G41217	Bos taurus	1	New pattern	1	public repositories
SRR7236155	eu1	Mexico		G41218	Bos taurus	1	SB0140	1	public repositories
SRR7236164	eu1	Mexico		G41227	Bos taurus	1	SB0140	1	public repositories
SRR7236174	eu1	Mexico		G41237	Bos taurus	1	SB0140	1	public repositories
SRR7236183	eu1	Mexico		G41246	Bos taurus	1	SB0140	1	public repositories
SRR7236188	eu1	Mexico		G41251	Bos taurus	1	SB0140	1	public repositories
SRR7236190	eu1	Mexico		G41253	Bos taurus	1	SB0140	1	public repositories
SRR7236195	eu1	Mexico		G41258	Bos taurus	1	SB0145	1	public repositories
SRR7236225	eu1	Mexico		G41288	Bos taurus	1	SB0130	1	public repositories
SRR7236234	eu1	Mexico		G41297	Bos taurus	1	SB0145	1	public repositories
SRR7236249	eu1	Mexico		G41312	Bos taurus	1	SB0140	1	public repositories
SRR7236252	eu1	Mexico		G41315	Bos taurus	1	SB0131	1	public repositories
SRR7236262	eu1	Mexico		G41325	Bos taurus	1	SB0140	1	public repositories
SRR7236271	eu1	Mexico		G41334	Bos taurus	1	SB0140	1	public repositories
SRR7236275	eu1	Mexico		G41338	Bos taurus	1	SB0140	1	public repositories
SRR7236279	eu1	Mexico		G41342	Bos taurus	1	SB0140	1	public repositories
SRR7236287	eu1	Mexico		G41350	Bos taurus	1	SB0145	1	public repositories
SRR7236293	eu1	Mexico		G41356	Bos taurus	1	SB0140	1	public repositories
SRR7236303	eu1	Mexico		G41366	Bos taurus	1	SB0289	1	public repositories
SRR7236324	eu1	Mexico		G41387	Bos taurus	1	SB0140	1	public repositories
SRR7236330	eu1	Mexico		G41393	Bos taurus	1	SB0140	1	public repositories
SRR7236331	eu1	Mexico		G41394	Bos taurus	1	SB0140	1	public repositories
SRR7236349	eu1	Mexico		G41412	Bos taurus	1	SB0327	1	public repositories
SRR7236350	eu1	Mexico		G41413	Bos taurus	1	SB0145	1	public repositories
SRR7236354	eu1	Mexico		G41417	Bos taurus	1	SB0130	1	public repositories
SRR7236357	eu1	Mexico		G41420	Bos taurus	1	SB0139	1	public repositories
SRR7236376	eu1	Mexico		G41439	Bos taurus	1	SB0140	1	public repositories
SRR7236393	eu1	Mexico		G41456	Bos taurus	1	SB1758	1	public repositories
SRR7236394	eu1	Mexico		G41457	Bos taurus	1	SB0140	1	public repositories
SRR7236397	eu1	Mexico		G41460	Bos taurus	1	SB1754	1	public repositories
SRR7236403	eu1	Mexico		G41466	Bos taurus	1	SB0140	1	public repositories
SRR7236404	eu1	Mexico		G41467	Bos taurus	1	SB0140	1	public repositories
SRR7236413	eu1	Mexico		G41476	Bos taurus	1	SB0275	1	public repositories
SRR7236415	eu1	Mexico		G41478	Bos taurus	1	SB0140	1	public repositories
SRR7236417	eu1	Mexico		G41480	Bos taurus	1	SB0140	1	public repositories
SRR7236418	eu1	Mexico		G41481	Bos taurus	1	New pattern	1	public repositories
SRR7236421	eu1	Mexico		G41484	Bos taurus	1	SB0140	1	public repositories
SRR7236424	eu1	Mexico		G41487	Bos taurus	1	SB0140	1	public repositories
SRR7617392	eu1	New Zealand		G41568	Cervine	1	SB0140	1	public repositories
SRR7617394	eu1	New Zealand		G41570	Cervine	1	SB0140	1	public repositories
SRR7617396	eu1	New Zealand		G41572	Bovine	1	SB0140	1	public repositories
SRR7617409	eu1	New Zealand		G41585	Possum	1	SB0130	1	public repositories
SRR7617439	eu1	New Zealand		G41615	Bovine	1	SB0140	1	public repositories
SRR7617441	eu1	United Kingdom		G41617	Bovine	1	SB0268	1	public repositories
SRR7617442	eu1	New Zealand		G41618	Bovine	1	SB0140	1	public repositories
SRR7617446	eu1	New Zealand		G41622	Bovine	1	SB0140	1	public repositories
SRR7617510	eu1	New Zealand		G41686	Possum	1	SB0140	1	public repositories
SRR7617514	eu1	New Zealand		G41690	Ferret	1	SB0140	1	public repositories
SRR7617515	eu1	New Zealand		G41691	Ferret	1	SB0140	1	public repositories
SRR7617517	eu1	New Zealand		G41693	Possum	1	SB0140	1	public repositories
SRR7617526	eu1	New Zealand		G41702	Possum	1	SB0140	1	public repositories
SRR7617588	eu1	New Zealand		G41764	Pig	1	SB0130	1	public repositories
SRR7617596	eu1	New Zealand		G41772	Cervine	1	SB0130	1	public repositories
SRR7617599	eu1	New Zealand		G41775	Cervine	1	SB0140	1	public repositories
SRR7617634	eu1	New Zealand		G41810	Pig	1	SB0130	1	public repositories
SRR7617639	eu1	New Zealand		G41815	Ferret	1	SB0130	1	public repositories
SRR7617660	eu1	New Zealand		G41836	Bovine	1	SB0140	1	public repositories
SRR7617666	eu1	New Zealand		G41842	Ferret	1	SB0140	1	public repositories
SRR7617681	eu1	New Zealand		G41857	Ferret	1	SB0140	1	public repositories
SRR7617682	eu1	New Zealand		G41858	Bovine	1	SB0140	1	public repositories
SRR7617710	eu1	New Zealand		G41886	Homo sapiens	0	SB0673	1	public repositories
SRR7617711	eu1	New Zealand		G41887	Bovine	1	SB1031	1	public repositories
SRR7617761	eu1	New Zealand		G41937	Ferret	1	SB0140	1	public repositories
SRR7617812	eu1	New Zealand		G41988	Bovine	1	SB1897	1	public repositories
SRR7617827	eu1	New Zealand		G42003	Pig	1	SB0130	1	public repositories
SRR7617828	eu1	New Zealand		G42004	Bovine	1	SB0140	1	public repositories
SRR7617836	eu1	New Zealand		G42012	Bovine	1	SB0140	1	public repositories
SRR6045019	eu1	United Kingdom		G42045	Homo sapiens	0	SB0267	1	public repositories
SRR8073610	eu1	USA		G42077	Deer	1	SB0145	1	public repositories
SRR7851305	eu1	France		G47578		1	SB0140	0	public repositories
SRR7851314	eu1	France		G47587		1	SB0130	0	public repositories
SRR7851320	eu1	France		G47593		1	SB0145	0	public repositories
SRR7851341	eu1	France		G47614		1	SB0140	0	public repositories
SRR7851351	eu1	France		G47624		1	SB0140	0	public repositories
SRR7851364	eu1	France		G47637		1	SB0140	0	public repositories
SRR7851305	eu1	France		G49365		1	SB0140	0	public repositories
SRR10808421	eu1	Indonesia		G62291		1	SB0130	0	public repositories
ERR550954	eu2	Germany		G13311		0	SB0339	1	public repositories
SRR6467889	eu2	Canada		G36315	Bos taurus	1	SB0265	1	public repositories
SRR6705904	eu2	Brazil		G36401	Bovine	1	SB0121	1	public repositories
SRR5657358	eu2	Mexico		G36402	Bos taurus	1	SB1345	1	public repositories
SRR5657359	eu2	Mexico		G36403	Bos taurus	1	SB1345	1	public repositories
SRR5657512	eu2	Mexico		G36556	Bos taurus	1	SB2469	1	public repositories
SRR5657513	eu2	Mexico		G36557	Bos taurus	1	SB1345	1	public repositories
ERR1815538	eu2	South Africa		G36574	Panthera leo	1	SB0121	1	public repositories
ERR1815540	eu2	South Africa		G36576	Tragelaphus strepsiceros	1	SB0121	1	public repositories
ERR1815541	eu2	South Africa		G36577	Syncerus caffer	1	SB0121	1	public repositories
